Parameter1,Parameter2,Parameter3,Parameter4,Parameter5,Parameter6,Parameter7,Parameter8,Parameter9,Parameter10,Attribute1,Attribute2,Attribute3,Attribute4,Attribute5,Attribute6,Attribute7,Attribute8,Attribute9,Attribute10,Quality_label
2.3219531784544216e-09,1.9476019085336257e-07,0.00017073815783245192,0.0002732133349393106,5.0226396436164925e-06,1.4840210722619597e-05,0.06405078546594023,5.828822452589065e-07,3.4099922154466674e-09,0.001951600936147419,5.727428727431309e-08,1.0443714361323533e-09,8.55121075366975e-06,2.350553624274704e-06,1.1080316549003164e-09,7.683777151518812e-07,2.2752306183959593e-06,1.5484472047943857e-07,4.4298429585576436e-10,6.544596645836658e-13,0.3333333333333333
2.2443406157341886e-06,4.960019975999453e-09,4.147846012945792e-08,0.000365824147592421,1.0854153169621648e-05,5.8190820179119916e-05,0.06405078546594023,5.828822452589065e-07,3.4099922154466674e-09,0.001951600936147419,3.025407247736109e-12,7.208975317585779e-08,5.188662031316865e-07,1.4351188370922634e-05,6.315076074017846e-11,0.001383686266579037,4.7740116556235307e-08,7.0276681242072225e-09,2.159942611445165e-10,3.909329617317807e-11,0.0
1.3736615372051263e-07,2.281500675857079e-05,9.359438876876777e-08,8.032175360292415e-07,1.0854153169621648e-05,4.787588649665647e-05,0.06405078546594023,5.828822452589065e-07,3.4099922154466674e-09,0.001951600936147419,1.85461624082674e-10,4.840182471390352e-10,0.0008567107074594348,1.4044643214373227e-07,9.635680650091773e-12,1.5859228442883728e-05,7.674530356404159e-10,2.6207300556972354e-10,7.430851982674531e-09,1.528955747378781e-11,0.0
2.5476124480752225e-05,1.5595269471476265e-08,2.088559142840865e-08,7.856622745321016e-06,1.0854153169621648e-05,5.8190820179119916e-05,0.06405078546594023,5.828822452589065e-07,3.4099922154466674e-09,0.001951600936147419,1.218823142854855e-08,2.3533595941280914e-09,8.942501896378614e-08,4.1629708624702246e-08,3.3904719459538562e-12,1.188699255329041e-05,3.2562080768862043e-10,1.1141143672056004e-10,5.948204571968653e-09,6.738120528691997e-13,0.0
1.692961362981723e-08,2.882944466545976e-09,6.365836046841053e-09,0.003751425860461725,1.0854153169621648e-05,5.8190820179119916e-05,0.06405078546594023,5.828822452589065e-07,3.4099922154466674e-09,0.001951600936147419,9.670899967189208e-08,9.627235193578641e-09,0.0003005141181895029,1.659968652061953e-08,1.2290443317202718e-12,1.3086053148028975e-05,6.500886299820503e-10,5.354940798369873e-12,2.976283151356176e-09,1.530558999698939e-10,0.0
5.687456624750537e-09,4.7968883757408e-06,9.10251016832284e-07,7.543517855632303e-08,6.260308478853695e-06,3.938863473209422e-05,0.06405078546594023,5.828822452589065e-07,3.4099922154466674e-09,0.001951600936147419,1.2989965742488484e-11,5.5689712936936196e-08,4.975217168218462e-05,1.024502001738025e-06,1.3316268288034697e-10,5.7815831019569705e-06,7.34241015561978e-09,5.625290769468939e-08,3.5387895579758746e-09,5.034277119959823e-12,0.6666666666666666
6.143437921176087e-07,4.0617273482006274e-07,3.3344029143662316e-06,4.36979513473497e-06,0.019130106248180484,0.011269740846446146,1.681307462497814e-05,0.0008874833342791698,2.9603433781794253e-10,1.772693060287755e-05,8.930745498004932e-08,2.138522948753921e-10,7.55203061225375e-09,6.495516146518589e-08,2.347606221732625e-10,2.5343231486034253e-08,3.989924315274573e-10,6.568106850581331e-11,9.056301186159958e-09,5.049617137787077e-11,0.6666666666666666
0.0674808996009369,9.841838266511385e-10,1.7192921751414972e-05,4.527925045277705e-07,0.0171390712919967,0.007629828593321715,1.681307462497814e-05,0.0008874833342791698,2.9603433781794253e-10,1.772693060287755e-05,4.832782698165757e-10,1.5786397819420407e-09,7.035021534266048e-07,1.3379454129876522e-06,3.880409518763449e-09,3.905701874501228e-08,7.845997165367409e-09,1.5168508570225742e-09,2.340200084675295e-12,3.6342122843487803e-13,0.6666666666666666
2.0409614091452828e-06,1.726162734138212e-05,2.3857197175027816e-05,0.002619169998515757,0.0171390712919967,0.006277910710664398,1.681307462497814e-05,0.0008874833342791698,2.9603433781794253e-10,1.772693060287755e-05,1.0090710002887165e-06,3.0417366692817623e-07,0.00033711239105768697,3.697264651691792e-08,9.880547798620163e-11,4.0979753419428505e-08,3.2562080768862043e-10,1.83873424385103e-12,7.449031270541301e-10,1.7149020609875657e-10,0.3333333333333333
1.4792818666539318e-10,1.5767166314263563e-06,3.6917912905640296e-05,0.0001479055349869897,0.015355260366467647,0.00425026137555452,1.681307462497814e-05,0.0008874833342791698,2.9603433781794253e-10,1.772693060287755e-05,2.5530066513569667e-12,1.2592294948370211e-10,0.0004566932671606303,5.33505771008916e-07,4.3723817397356286e-09,7.263214585353705e-09,1.735842152556633e-08,4.929935857472958e-10,1.1778859098461849e-11,3.473724063128163e-12,0.6666666666666666
